# continuous-ab  2026-06-19T04:34:05.529020+00:00  | 2P vs slawekbiel_the-producer-v2 | seeds 5000..5039 (n=40) | variants=base,native,native_s20,native_sc | 160 games to run (0 already done)
  [  1/160] base          seed=5000 seat=0  WIN   margin=+0.962  steps=500 max_ms=379.3  (eta 8482s)
  [  2/160] base          seed=5001 seat=1  loss  margin=-1.000  steps=145 max_ms=63.6  (eta 5688s)
  [  3/160] native        seed=5001 seat=1  loss  margin=-1.000  steps=83 max_ms=297.9  (eta 5289s)
  [  4/160] native_s20    seed=5001 seat=1  loss  margin=-1.000  steps=83 max_ms=241.1  (eta 4973s)
  [  5/160] native        seed=5000 seat=0  loss  margin=-0.896  steps=500 max_ms=303.5  (eta 3996s)
  [  6/160] native_sc     seed=5000 seat=0  loss  margin=-0.896  steps=500 max_ms=413.6  (eta 3537s)
  [  7/160] native_s20    seed=5000 seat=0  loss  margin=-0.896  steps=500 max_ms=350.2  (eta 3048s)
  [  8/160] base          seed=5002 seat=0  loss  margin=-1.000  steps=140 max_ms=88.3  (eta 2806s)
  [  9/160] native_sc     seed=5001 seat=1  loss  margin=-1.000  steps=83 max_ms=344.4  (eta 2601s)
  [ 10/160] native_s20    seed=5002 seat=0  loss  margin=-1.000  steps=83 max_ms=383.8  (eta 2465s)
  [ 11/160] native        seed=5002 seat=0  loss  margin=-1.000  steps=83 max_ms=329.9  (eta 2234s)
  [ 12/160] native_sc     seed=5002 seat=0  loss  margin=-1.000  steps=83 max_ms=272.0  (eta 2118s)
  [ 13/160] base          seed=5003 seat=1  loss  margin=-1.000  steps=153 max_ms=340.2  (eta 1965s)
