# deep-search ISOLATED vs producer | 4P depth=4 steps<=250 seeds=[76670184, 1492346051, 768065184, 641308308, 305419896, 12648430, 20240617, 88888883]
OFF seed=76670184    seat=0 WIN  steps=200 max_ms= 481 rew=[1, -1, -1, -1] | OFF=1/1 ON=0/0
ON  seed=76670184    seat=0 WIN  steps=158 max_ms= 812 rew=[1, -1, -1, -1] | OFF=1/1 ON=1/1
OFF seed=1492346051  seat=1 WIN  steps=102 max_ms= 352 rew=[-1, 1, -1, -1] | OFF=2/2 ON=1/1
ON  seed=1492346051  seat=1 WIN  steps=101 max_ms= 796 rew=[-1, 1, -1, -1] | OFF=2/2 ON=2/2
OFF seed=768065184   seat=2 WIN  steps=153 max_ms= 266 rew=[-1, -1, 1, -1] | OFF=3/3 ON=2/2
ON  seed=768065184   seat=2 loss steps=149 max_ms= 822 rew=[-1, 1, -1, -1] | OFF=3/3 ON=2/3
OFF seed=641308308   seat=3 loss steps=250 max_ms= 390 rew=[-1, 1, -1, -1] | OFF=3/4 ON=2/3
ON  seed=641308308   seat=3 WIN  steps=105 max_ms= 821 rew=[-1, -1, -1, 1] | OFF=3/4 ON=3/4
OFF seed=305419896   seat=0 loss steps=183 max_ms= 291 rew=[-1, 1, -1, -1] | OFF=3/5 ON=3/4
ON  seed=305419896   seat=0 loss steps=170 max_ms= 930 rew=[-1, -1, 1, -1] | OFF=3/5 ON=3/5
OFF seed=12648430    seat=1 loss steps=250 max_ms= 392 rew=[-1, -1, 1, -1] | OFF=3/6 ON=3/5
ON  seed=12648430    seat=1 loss steps=250 max_ms= 666 rew=[-1, -1, 1, -1] | OFF=3/6 ON=3/6
OFF seed=20240617    seat=2 WIN  steps=250 max_ms= 325 rew=[-1, -1, 1, -1] | OFF=4/7 ON=3/6
ON  seed=20240617    seat=2 loss steps=228 max_ms= 838 rew=[-1, 1, -1, -1] | OFF=4/7 ON=3/7
