# hold-sizing+reinforce A/B | 2P | ON=LR_HOLD_MARGIN=0.5,LR_DEFEND=1
OFF vs producerV2  seed=768065184   seat=0 loss steps=118 focal_launch=115 opp_launch=110 max_ms= 213 rew=[-1, 1]
OFF vs producerV2  seed=768065184   seat=1 loss steps=128 focal_launch=122 opp_launch=114 max_ms= 226 rew=[1, -1]
OFF vs producerV2  seed=76670184    seat=0 loss steps=118 focal_launch=175 opp_launch=203 max_ms= 408 rew=[-1, 1]
OFF vs producerV2  seed=76670184    seat=1 WIN  steps=146 focal_launch=246 opp_launch=245 max_ms= 235 rew=[-1, 1]
OFF vs producerV2  seed=305419896   seat=0 loss steps=131 focal_launch=111 opp_launch=139 max_ms= 207 rew=[-1, 1]
OFF vs producerV2  seed=305419896   seat=1 loss steps=136 focal_launch=109 opp_launch=153 max_ms= 319 rew=[1, -1]
OFF vs producerV2  seed=12648430    seat=0 WIN  steps=125 focal_launch=90 opp_launch=64 max_ms= 340 rew=[1, -1]
OFF vs producerV2  seed=12648430    seat=1 WIN  steps=125 focal_launch=90 opp_launch=64 max_ms= 315 rew=[-1, 1]
# OFF vs producerV2: 3/8 wins on valid games (0 idle); focal max_ms=408
ON  vs producerV2  seed=768065184   seat=0 WIN  steps=155 focal_launch=214 opp_launch=186 max_ms= 294 rew=[1, -1]
ON  vs producerV2  seed=768065184   seat=1 loss steps=148 focal_launch=171 opp_launch=167 max_ms= 298 rew=[1, -1]
ON  vs producerV2  seed=76670184    seat=0 WIN  steps=138 focal_launch=238 opp_launch=237 max_ms= 295 rew=[1, -1]
ON  vs producerV2  seed=76670184    seat=1 WIN  steps=166 focal_launch=313 opp_launch=321 max_ms= 417 rew=[-1, 1]
ON  vs producerV2  seed=305419896   seat=0 loss steps=165 focal_launch=187 opp_launch=192 max_ms= 221 rew=[-1, 1]
ON  vs producerV2  seed=305419896   seat=1 WIN  steps=220 focal_launch=288 opp_launch=273 max_ms= 221 rew=[-1, 1]
ON  vs producerV2  seed=12648430    seat=0 WIN  steps=110 focal_launch=83 opp_launch=63 max_ms= 311 rew=[1, -1]
ON  vs producerV2  seed=12648430    seat=1 WIN  steps=117 focal_launch=88 opp_launch=55 max_ms= 323 rew=[-1, 1]
# ON  vs producerV2: 6/8 wins on valid games (0 idle); focal max_ms=417
ON  vs roman1224   seed=768065184   seat=0 WIN  steps=101 focal_launch=58 opp_launch=67 max_ms= 244 rew=[1, -1]
ON  vs roman1224   seed=768065184   seat=1 WIN  steps=110 focal_launch=66 opp_launch=60 max_ms= 301 rew=[-1, 1]
ON  vs roman1224   seed=305419896   seat=0 WIN  steps=120 focal_launch=62 opp_launch=80 max_ms= 245 rew=[1, -1]
ON  vs roman1224   seed=305419896   seat=1 WIN  steps=105 focal_launch=73 opp_launch=79 max_ms= 250 rew=[-1, 1]
# ON  vs roman1224: 4/4 wins on valid games (0 idle); focal max_ms=301
ON  vs konbu17     seed=768065184   seat=0 WIN  steps=104 focal_launch=66 opp_launch=85 max_ms= 254 rew=[1, -1]
ON  vs konbu17     seed=768065184   seat=1 WIN  steps=92 focal_launch=65 opp_launch=84 max_ms= 290 rew=[-1, 1]
ON  vs konbu17     seed=305419896   seat=0 WIN  steps=110 focal_launch=37 opp_launch=72 max_ms= 240 rew=[1, -1]
ON  vs konbu17     seed=305419896   seat=1 WIN  steps=124 focal_launch=58 opp_launch=80 max_ms= 428 rew=[-1, 1]
