agent                                      n  mean_ships     std   ci95_lo   ci95_hi  planets   wall_s  err
-----------------------------------------------------------------------------------------------------------
simple/roi                                32      4686.1  2319.1    3882.6    5489.6    27.06    139.0    0
agents/baseline_integral                  32      3653.7  3151.2    2561.8    4745.5    25.72   2943.8    0

per-archetype mean terminal ships (n=1 game(s) per cell):
archetype                                   agents/baseline_integr              simple/roi   diff[1-2]
------------------------------------------------------------------------------------------------------
high_prod__mixed_rotating__big_rotating                     2262.0                  7895.0     -5633.0
high_prod__mixed_rotating__big_static                       7163.0                  3197.0     +3966.0
high_prod__mixed_static__big_rotating                       2410.0                  3703.0     -1293.0
high_prod__mixed_static__big_static                        12791.0                  4468.0     +8323.0
high_prod__mostly_rotating__big_rotating                    5070.0                  5090.0       -20.0
high_prod__mostly_rotating__big_static                      5149.0                  3740.0     +1409.0
high_prod__mostly_static__big_rotating                      3618.0                  7906.0     -4288.0
high_prod__mostly_static__big_static                       15049.0                  4228.0    +10821.0
low_prod__mixed_rotating__big_rotating                      2153.0                  1624.0      +529.0
low_prod__mixed_rotating__big_static                        6495.0                  3859.0     +2636.0
low_prod__mixed_static__big_rotating                        2794.0                  4298.0     -1504.0
low_prod__mixed_static__big_static                          1048.0                  2128.0     -1080.0
low_prod__mostly_rotating__big_rotating                     2085.0                  6941.0     -4856.0
low_prod__mostly_rotating__big_static                        975.0                  2758.0     -1783.0
low_prod__mostly_static__big_rotating                       2602.0                  3980.0     -1378.0
low_prod__mostly_static__big_static                          804.0                  2113.0     -1309.0
med_high_prod__mixed_rotating__big_rotating                  2302.0                  3685.0     -1383.0
med_high_prod__mixed_rotating__big_static                   2434.0                  3458.0     -1024.0
med_high_prod__mixed_static__big_rotating                   2272.0                  2373.0      -101.0
med_high_prod__mixed_static__big_static                     2718.0                  4101.0     -1383.0
med_high_prod__mostly_rotating__big_rotating                  4057.0                  4269.0      -212.0
med_high_prod__mostly_rotating__big_static                  2810.0                 11147.0     -8337.0
med_high_prod__mostly_static__big_rotating                  1971.0                  3563.0     -1592.0
med_high_prod__mostly_static__big_static                     634.0                  4024.0     -3390.0
med_low_prod__mixed_rotating__big_rotating                  2803.0                  4267.0     -1464.0
med_low_prod__mixed_rotating__big_static                    1903.0                  2473.0      -570.0
med_low_prod__mixed_static__big_rotating                    5727.0                  7824.0     -2097.0
med_low_prod__mixed_static__big_static                      2611.0                  8054.0     -5443.0
med_low_prod__mostly_rotating__big_rotating                  2782.0                  3024.0      -242.0
med_low_prod__mostly_rotating__big_static                   5454.0                  7461.0     -2007.0
med_low_prod__mostly_static__big_rotating                   1813.0                  8984.0     -7171.0
med_low_prod__mostly_static__big_static                     2158.0                  3320.0     -1162.0
