=== solo trace  agent=agents/baseline_integral  seed=0  steps=250  T_END=250 ===
turn-0:  total_planets=32  me=1 (10 ships, prod=1)  opp=1 (10 ships)  neutral=30

  t  | actions                                              | pl[me/op/N] | ships[me+fl/op] | prod | V_leaf
-----+------------------------------------------------------+-------------+-----------------+------+--------
   0 | (idle)                                                |  1/ 1/30  |   10+  0/  10 |    1 |     0.0
  10 | (idle)                                                |  1/ 1/30  |   20+  0/  20 |    1 |     0.0
  11 | P12(pr1)->P0:21                                        |  1/ 1/30  |   21+  0/  21 |    1 |     0.0
  18 | P20(pr3)->P0:15                                        |  2/ 1/29  |   23+  0/  28 |    4 |   691.0
  20 | (idle)                                                |  2/ 1/29  |   16+ 15/  30 |    4 |   691.0
  22 | P20(pr3)->P0:13                                        |  2/ 1/29  |   24+ 15/  32 |    4 |   691.0
  23 | P12(pr1)->P-2:12                                       |  2/ 1/29  |   15+ 28/  33 |    4 |   691.0
  28 | P20(pr3)->P-2:18                                       |  3/ 1/28  |   26+ 25/  38 |    5 |   901.0
  30 | (idle)                                                |  3/ 1/28  |   18+ 43/  40 |    5 |   901.0
  34 | P24(pr1)->P-2:9                                        |  4/ 1/27  |   45+ 30/  44 |    6 |  1111.0
  39 | P20(pr3)->P-1:29                                       |  4/ 1/27  |   66+ 39/  49 |    6 |  1111.0
  40 | (idle)                                                |  5/ 1/26  |   46+ 56/  50 |    7 |  1312.0
  41 | P24(pr1)->P-2:7 P18(pr1)->P0:14                        |  5/ 1/26  |   53+ 56/  51 |    7 |  1312.0
  45 | P16(pr1)->P1:8                                         |  7/ 1/24  |   70+ 50/  55 |    9 |  1705.0
  50 | P22(pr3)->P-1:7                                        |  9/ 1/26  |  119+  8/  60 |   13 |  2467.0
  53 | P20(pr3)->P1:46                                        | 10/ 1/25  |  153+  7/  63 |   14 |  2658.0
  55 | P28(pr1)->P0:10 P35(pr1)->P0:4                         | 10/ 1/25  |  135+ 53/  65 |   14 |  2658.0
  58 | P12(pr1)->P-1:30                                       | 11/ 1/24  |  164+ 60/  68 |   15 |  2844.0
  59 | P35(pr1)->P2:4 P33(pr1)->P1:2                          | 11/ 1/24  |  149+ 90/  69 |   15 |  2844.0
  60 | P22(pr3)->P-2:29 P16(pr1)->P-1:15                      | 11/ 1/24  |  158+ 96/  70 |   15 |  2844.0
  61 | P35(pr1)->P-2:2                                        | 11/ 1/24  |  129+140/  71 |   15 |  2844.0
  63 | P35(pr1)->P-2:2                                        | 12/ 1/23  |  162+ 96/  73 |   19 |  3551.0
  67 | P35(pr1)->P1:4                                         | 14/ 1/21  |  238+ 54/  77 |   21 |  3875.0
  69 | P20(pr3)->P-2:46                                       | 15/ 1/20  |  310+ 18/  79 |   22 |  4050.0
  70 | P33(pr1)->P-1:11 P34(pr1)->P-2:5 P35(pr1)->P2:3        | 15/ 1/20  |  286+ 64/  80 |   22 |  4050.0
  72 | P33(pr1)->P-1:2 P34(pr1)->P1:2                         | 15/ 1/20  |  311+ 83/  82 |   22 |  4050.0
  74 | P33(pr1)->P-2:2                                        | 16/ 1/19  |  352+ 41/  84 |   26 |  4709.0
  75 | P34(pr1)->P1:3                                         | 16/ 1/19  |  380+ 39/  85 |   26 |  4709.0
  76 | P22(pr3)->P-2:44 P33(pr1)->P-2:2                       | 16/ 1/19  |  403+ 42/  86 |   26 |  4709.0
  77 | P34(pr1)->P1:2                                         | 16/ 1/19  |  383+ 88/  87 |   26 |  4709.0
  78 | P33(pr1)->P-2:2                                        | 16/ 1/19  |  407+ 90/  88 |   26 |  4709.0
  79 | P35(pr1)->P-2:9 P34(pr1)->P1:2                         | 16/ 1/19  |  442+ 81/  89 |   26 |  4709.0
  80 | P5(pr4)->P0:77 P27(pr1)->P0:44 P33(pr1)->P-1:2         | 16/ 1/19  |  461+ 86/  88 |   26 |  4709.0
  81 | P35(pr1)->P1:2 P34(pr1)->P2:2                          | 16/ 1/19  |  366+207/  89 |   26 |  4709.0
  82 | P33(pr1)->P-1:2                                        | 17/ 1/18  |  389+163/  86 |   27 |  4834.0
  83 | P35(pr1)->P0:2 P34(pr1)->P1:2                          | 18/ 1/17  |  415+121/  87 |   28 |  4958.0
  84 | P24(pr1)->P-1:45 P28(pr1)->P1:29                       | 15/ 1/16  |  444+116/  88 |   25 |  4456.0
  86 | P16(pr1)->P0:46 P19(pr1)->P0:68                        | 16/ 1/15  |  488+113/  90 |   26 |  4611.0
  90 | P12(pr1)->P0:30                                        | 16/ 1/15  |  481+224/  94 |   26 |  4611.0
  91 | P17(pr1)->P-1:21                                       | 17/ 1/14  |  515+207/  95 |   27 |  4761.0
  92 | P17(pr1)->P-1:16                                       | 17/ 1/14  |  525+224/  96 |   27 |  4761.0
  94 | P7(pr4)->P2:86                                         | 18/ 1/13  |  572+190/  98 |   31 |  5344.0
  97 | P20(pr3)->P0:86                                        | 22/ 1/ 9  |  628+ 78/ 101 |   37 |  6113.0
 100 | P19(pr1)->P0:14 P1(pr1)->P0:19                         | 23/ 1/ 8  |  660+129/ 104 |   38 |  6235.0
 107 | P5(pr4)->P0:86                                         | 25/ 1/ 6  |  926+ 21/  97 |   40 |  6427.0
 110 | P20(pr3)->P0:44                                        | 26/ 1/ 5  |  961+  2/  81 |   41 |  6482.0
 111 | P21(pr3)->P0:44 P19(pr1)->P0:11                        | 26/ 1/ 5  |  958+ 46/  82 |   41 |  6482.0
 112 | P25(pr1)->P0:74                                        | 26/ 1/ 5  |  944+101/  83 |   41 |  6482.0
 114 | P1(pr1)->P0:14                                         | 26/ 1/ 5  |  954+162/  74 |   41 |  6482.0
 118 | P7(pr4)->P1:86                                         | 29/ 1/ 2  | 1179+ 14/  78 |   49 |  7451.0
 119 | P19(pr1)->P0:8                                         | 29/ 1/ 2  | 1142+100/  79 |   49 |  7451.0
 120 | (idle)                                                | 29/ 1/ 2  | 1197+ 94/  80 |   49 |  7451.0

=== final step=125  me=1451+0=1451 ships on 30 planets (prod=50)  opp=0 on 0  neutral=2 ===
