=== solo trace  agent=agents/integral_minimal  seed=7542  steps=200  T_END=200 ===
turn-0:  total_planets=40  me=1 (10 ships, prod=4)  opp=1 (10 ships)  neutral=38

  t  | actions                                              | pl[me/op/N] | ships[me+fl/op] | prod | V_leaf
-----+------------------------------------------------------+-------------+-----------------+------+--------
   0 | (idle)                                                |  1/ 1/38  |   10+  0/  10 |    4 |     0.0
   1 | P12(pr4)->P-1:12                                       |  1/ 1/38  |   14+  0/  14 |    4 |     0.0
   4 | P12(pr4)->P0:12                                        |  1/ 1/38  |   14+ 12/  26 |    4 |     0.0
   7 | P12(pr4)->P0:12                                        |  1/ 1/38  |   14+ 24/  38 |    4 |     0.0
  10 | P12(pr4)->P0:12                                        |  1/ 1/38  |   14+ 36/  50 |    4 |     0.0
  13 | P12(pr4)->P-1:12                                       |  2/ 1/37  |   19+ 36/  62 |    6 |   367.0
  14 | P22(pr2)->P-1:12                                       |  2/ 1/37  |   25+ 36/  66 |    6 |   367.0
  16 | P12(pr4)->P0:12                                        |  2/ 1/37  |   25+ 48/  74 |    6 |   367.0
  17 | P22(pr2)->P-2:20                                       |  2/ 1/37  |   31+ 48/  78 |    6 |   367.0
  19 | P12(pr4)->P0:12                                        |  2/ 1/37  |   23+ 68/  86 |    6 |   367.0
  20 | P22(pr2)->P-2:20                                       |  2/ 1/37  |   29+ 68/  90 |    6 |   367.0
  22 | P12(pr4)->P0:12                                        |  3/ 1/36  |   26+ 68/  98 |   10 |  1064.0
  24 | P14(pr4)->P2:26                                        |  3/ 1/36  |   54+ 60/ 106 |   10 |  1064.0
  25 | P12(pr4)->P0:12 P22(pr2)->P-1:12                       |  3/ 1/36  |   38+ 86/ 110 |   10 |  1064.0
  26 | P14(pr4)->P-1:12                                       |  3/ 1/36  |   24+110/ 114 |   10 |  1064.0
  29 | P14(pr4)->P-1:12                                       |  4/ 1/35  |   45+110/ 126 |   12 |  1397.0
  31 | P12(pr4)->P-2:26                                       |  5/ 1/34  |   63+ 96/ 134 |   17 |  2222.0
  32 | P14(pr4)->P-1:12                                       |  5/ 1/34  |   54+122/ 138 |   17 |  2222.0
  33 | P18(pr5)->P-1:12                                       |  5/ 1/34  |   59+134/ 142 |   17 |  2222.0
  34 | P23(pr2)->P-2:12                                       |  5/ 1/34  |   64+146/ 146 |   17 |  2222.0
  35 | P14(pr4)->P-1:12 P18(pr5)->P-1:12 P22(pr2)->P-1:20 P23 |  5/ 1/34  |   81+146/ 150 |   17 |  2222.0
  36 | P23(pr2)->P-2:12                                       |  5/ 1/34  |   54+190/ 154 |   17 |  2222.0
  37 | P18(pr5)->P-1:12                                       |  6/ 1/33  |   60+176/ 158 |   22 |  3012.0
  38 | P12(pr4)->P0:26 P14(pr4)->P-1:12 P23(pr2)->P-2:12      |  6/ 1/33  |   82+176/ 162 |   22 |  3012.0
  39 | P23(pr2)->P-2:12                                       |  6/ 1/33  |   66+214/ 166 |   22 |  3012.0
  40 | P16(pr5)->P-2:12 P18(pr5)->P-1:12 P23(pr2)->P-2:12     |  6/ 1/33  |   76+226/ 170 |   22 |  3012.0
  41 | P14(pr4)->P-1:12 P23(pr2)->P-2:12                      |  6/ 1/33  |   74+250/ 174 |   22 |  3012.0
  42 | P16(pr5)->P-2:12 P18(pr5)->P-1:12                      |  6/ 1/33  |   72+274/ 178 |   22 |  3012.0
  44 | P12(pr4)->P0:26 P14(pr4)->P-1:12 P16(pr5)->P-2:12 P23( |  6/ 1/33  |  104+286/ 186 |   22 |  3012.0
  45 | P18(pr5)->P0:12 P22(pr2)->P-1:20                       |  7/ 1/32  |   65+336/ 190 |   24 |  3311.0
  46 | P23(pr2)->P-1:12                                       |  7/ 1/32  |   57+368/ 194 |   24 |  3311.0
  47 | P14(pr4)->P-1:12 P18(pr5)->P0:12 P23(pr2)->P-1:12      |  7/ 1/32  |   93+356/ 198 |   24 |  3311.0
  48 | P16(pr5)->P0:20                                        |  8/ 1/31  |   82+380/ 202 |   26 |  3604.0
  49 | P20(pr2)->P0:26                                        |  8/ 1/31  |  112+376/ 206 |   26 |  3604.0
  50 | P21(pr2)->P2:20                                        |  8/ 1/35  |  124+390/ 210 |   26 |  3604.0
  51 | P12(pr4)->P0:26 P21(pr2)->P2:20                        |  8/ 1/35  |  142+398/ 214 |   26 |  3604.0
  52 | P14(pr4)->P-1:20 P16(pr5)->P0:20 P18(pr5)->P0:26       |  8/ 1/35  |  134+432/ 218 |   26 |  3604.0
  53 | P21(pr2)->P2:20                                        |  8/ 1/35  |  106+486/ 222 |   26 |  3604.0
  54 | P21(pr2)->P1:26                                        | 10/ 1/33  |  138+436/ 226 |   35 |  4874.0
  55 | P13(pr4)->P2:22 P21(pr2)->P1:22                        | 10/ 1/33  |  179+430/ 230 |   35 |  4874.0
  57 | P12(pr4)->P0:22 P13(pr4)->P1:22 P14(pr4)->P-1:22 P16(p | 11/ 1/32  |  250+404/ 238 |   40 |  5564.0
  58 | P21(pr2)->P1:22                                        | 11/ 1/32  |  104+590/ 242 |   40 |  5564.0
  59 | P19(pr5)->P2:22                                        | 13/ 1/30  |  136+556/ 246 |   42 |  5804.0
  60 | P13(pr4)->P0:28 P19(pr5)->P2:22 P21(pr2)->P-2:28       | 13/ 1/30  |  226+508/ 250 |   42 |  5804.0
  61 | P16(pr5)->P1:22 P18(pr5)->P-1:22 P19(pr5)->P2:22 P21(p | 13/ 1/30  |  240+536/ 254 |   42 |  5804.0
  62 | P19(pr5)->P2:22                                        | 14/ 1/29  |  189+602/ 258 |   43 |  5915.0
  63 | P12(pr4)->P-1:28 P17(pr5)->P-2:28 P37(pr1)->P2:28 P42( | 15/ 1/28  |  295+518/ 262 |   44 |  6031.0
  64 | P13(pr4)->P-2:28 P14(pr4)->P-3:28 P21(pr2)->P-2:28 P43 | 15/ 1/28  |  245+612/ 266 |   44 |  6031.0
  65 | P18(pr5)->P-2:22 P37(pr1)->P2:28                       | 15/ 1/28  |  205+696/ 270 |   44 |  6031.0
  66 | P13(pr4)->P-2:28 P21(pr2)->P-2:28                      | 15/ 1/28  |  243+702/ 274 |   44 |  6031.0
  67 | P16(pr5)->P-2:28 P19(pr5)->P0:28                       | 15/ 1/28  |  257+732/ 278 |   44 |  6031.0
  68 | P17(pr5)->P2:28 P19(pr5)->P0:28 P40(pr1)->P1:28        | 16/ 1/27  |  268+738/ 282 |   45 |  6136.0
  69 | P12(pr4)->P0:22                                        | 17/ 1/26  |  276+748/ 286 |   46 |  6240.0
  70 | P19(pr5)->P0:28 P22(pr2)->P0:28                        | 17/ 1/26  |  366+704/ 290 |   46 |  6240.0
  80 | (idle)                                                | 19/ 1/24  | 1332+168/ 330 |   48 |  6450.0
 100 | (idle)                                                | 15/ 1/24  | 2012+  0/ 410 |   44 |  5602.0
 120 | (idle)                                                | 15/ 1/24  | 2892+  0/ 490 |   44 |  5602.0
 140 | (idle)                                                | 15/ 1/24  | 3772+  0/ 570 |   44 |  5602.0
 150 | P12(pr4)->P-2:62 P13(pr4)->P0:62 P14(pr4)->P2:62 P20(p | 15/ 1/28  | 4212+  0/ 610 |   44 |  5602.0
 151 | P12(pr4)->P0:62 P13(pr4)->P1:62 P14(pr4)->P-1:62 P16(p | 15/ 1/28  | 3574+682/ 614 |   44 |  5602.0
 152 | P12(pr4)->P0:62 P13(pr4)->P1:62 P14(pr4)->P-1:62 P16(p | 15/ 1/28  | 2750+1550/ 618 |   44 |  5602.0
 153 | P12(pr4)->P-2:62 P13(pr4)->P0:62 P14(pr4)->P2:62 P16(p | 15/ 1/28  | 2050+2294/ 622 |   44 |  5602.0
 155 | P12(pr4)->P-1:62 P13(pr4)->P0:62 P16(pr5)->P-1:62 P17( | 18/ 1/25  | 1710+2542/ 630 |   47 |  5557.0
 156 | P16(pr5)->P-1:62                                       | 18/ 1/25  | 1633+2666/ 634 |   47 |  5557.0
 160 | (idle)                                                | 19/ 1/24  | 3251+1178/ 650 |   48 |  5539.0
 163 | P41(pr1)->P-1:663                                      | 19/ 1/24  | 4511+ 62/ 662 |   48 |  5539.0
 164 | P43(pr1)->P0:667                                       | 19/ 1/24  | 3958+663/ 666 |   48 |  5539.0
