=== solo trace  agent=agents/baseline_integral  seed=7542  steps=200  T_END=200 ===
turn-0:  total_planets=40  me=1 (10 ships, prod=4)  opp=1 (10 ships)  neutral=38

  t  | actions                                              | pl[me/op/N] | ships[me+fl/op] | prod | V_leaf
-----+------------------------------------------------------+-------------+-----------------+------+--------
   0 | (idle)                                                |  1/ 1/38  |   10+  0/  10 |    4 |     0.0
   4 | P12(pr4)->P2:26                                        |  1/ 1/38  |   26+  0/  26 |    4 |     0.0
   8 | P12(pr4)->P1:16                                        |  1/ 1/38  |   16+ 26/  42 |    4 |     0.0
  10 | (idle)                                                |  2/ 1/37  |    9+ 16/  50 |    9 |   925.0
  12 | P12(pr4)->P3:16                                        |  2/ 1/37  |   27+ 16/  58 |    9 |   925.0
  14 | P16(pr5)->P-2:20                                       |  2/ 1/37  |   29+ 32/  66 |    9 |   925.0
  19 | P12(pr4)->P0:26                                        |  3/ 1/36  |   65+ 36/  86 |   12 |  1463.0
  20 | P16(pr5)->P1:28                                        |  3/ 1/36  |   51+ 62/  90 |   12 |  1463.0
  25 | P0(pr3)->P0:27 P16(pr5)->P3:27 P12(pr4)->P2:23         |  4/ 1/35  |   85+ 62/ 110 |   13 |  1612.0
  29 | P16(pr5)->P-2:18 P0(pr3)->P-1:12                       |  7/ 1/32  |   84+ 70/ 126 |   25 |  3619.0
  30 | P18(pr5)->P0:20                                        |  7/ 1/32  |   79+100/ 130 |   25 |  3619.0
  31 | P12(pr4)->P2:27                                        |  7/ 1/32  |   84+120/ 134 |   25 |  3619.0
  34 | P4(pr5)->P0:23 P16(pr5)->P1:26                         | 10/ 1/29  |  147+ 80/ 146 |   38 |  5725.0
  35 | P18(pr5)->P0:26                                        | 12/ 1/27  |  138+ 94/ 150 |   41 |  6187.0
  38 | P0(pr3)->P-1:28                                        | 13/ 1/26  |  240+ 97/ 162 |   45 |  6817.0
  39 | P13(pr4)->P0:26                                        | 13/ 1/26  |  257+125/ 166 |   45 |  6817.0
  40 | P14(pr4)->P0:26                                        | 14/ 1/25  |  286+133/ 170 |   48 |  7289.0
  41 | P13(pr4)->P-1:11 P24(pr4)->P0:15 P16(pr5)->P-2:37 P20( | 15/ 1/24  |  313+132/ 174 |   52 |  7903.0
  44 | P25(pr4)->P1:15                                        | 18/ 1/21  |  388+141/ 186 |   55 |  8299.0
  47 | P16(pr5)->P-1:23                                       | 20/ 1/19  |  554+115/ 198 |   62 |  9345.0
  48 | P13(pr4)->P-2:27 P17(pr5)->P0:16                       | 22/ 1/17  |  595+ 97/ 202 |   65 |  9762.0
  49 | P24(pr4)->P-1:34 P20(pr2)->P2:21 P1(pr3)->P0:37 P0(pr3 | 22/ 1/17  |  617+140/ 206 |   65 |  9762.0
  50 | (idle)                                                | 22/ 1/21  |  363+459/ 210 |   65 |  9762.0
  51 | P0(pr3)->P0:6 P24(pr4)->P3:8 P14(pr4)->P0:47 P32(pr1)- | 23/ 1/20  |  431+448/ 214 |   68 | 10201.0
  52 | P4(pr5)->P0:15 P8(pr2)->P2:15 P28(pr1)->P1:5 P31(pr1)- | 27/ 1/16  |  499+370/ 218 |   73 | 10863.0
  54 | P24(pr4)->P-2:12 P4(pr5)->P-1:10                       | 27/ 1/16  |  572+443/ 226 |   73 | 10863.0
  55 | P4(pr5)->P0:5 P41(pr1)->P0:16                          | 28/ 1/15  |  624+438/ 230 |   78 | 11562.0
  56 | P24(pr4)->P3:38 P23(pr2)->P1:23 P0(pr3)->P0:15 P8(pr2) | 29/ 1/14  |  742+387/ 234 |   80 | 11839.0
  57 | P17(pr5)->P0:45 P13(pr4)->P0:37 P41(pr1)->P1:2         | 29/ 1/14  |  890+319/ 238 |   80 | 11839.0
  58 | P24(pr4)->P3:8 P0(pr3)->P0:6 P27(pr4)->P2:15 P36(pr1)- | 31/ 1/12  |  961+284/ 242 |   85 | 12505.0
  60 | P43(pr1)->P-2:2                                        | 31/ 1/12  | 1066+349/ 250 |   85 | 12505.0
  61 | P21(pr2)->P0:23 P24(pr4)->P3:25 P23(pr2)->P1:48 P4(pr5 | 31/ 1/12  | 1187+313/ 254 |   85 | 12505.0
  62 | P23(pr2)->P1:89 P41(pr1)->P0:5 P43(pr1)->P0:2          | 33/ 1/10  | 1222+322/ 258 |   88 | 12878.0
  63 | P17(pr5)->P0:30 P4(pr5)->P-2:34                        | 33/ 1/10  | 1227+405/ 262 |   88 | 12878.0
  64 | P34(pr1)->P-1:15 P41(pr1)->P0:2 P43(pr1)->P1:2         | 34/ 1/ 9  | 1348+350/ 266 |   89 | 12992.0
  65 | P17(pr5)->P0:9 P0(pr3)->P-1:21                         | 34/ 1/ 9  | 1555+232/ 270 |   89 | 12992.0
  66 | P21(pr2)->P0:9 P0(pr3)->P-1:3 P43(pr1)->P2:2 P41(pr1)- | 34/ 1/ 9  | 1653+223/ 274 |   89 | 12992.0
  68 | P19(pr5)->P0:32 P43(pr1)->P0:2 P41(pr1)->P-1:2         | 37/ 1/ 6  | 1887+115/ 282 |  100 | 14392.0
  69 | P19(pr5)->P0:5                                         | 37/ 1/ 6  | 1972+130/ 286 |  100 | 14392.0
  70 | P19(pr5)->P0:5 P43(pr1)->P0:2 P41(pr1)->P0:2           | 38/ 1/ 5  | 2076+100/ 290 |  105 | 15016.0
  71 | P23(pr2)->P0:73 P19(pr5)->P0:5                         | 38/ 1/ 5  | 2174+107/ 294 |  105 | 15016.0
  72 | P19(pr5)->P0:7 P23(pr2)->P-2:5 P41(pr1)->P-1:2 P43(pr1 | 38/ 1/ 5  | 2206+180/ 298 |  105 | 15016.0
  73 | P0(pr3)->P-2:21 P19(pr5)->P0:5 P41(pr1)->P1:23         | 39/ 1/ 4  | 2318+165/ 302 |  108 | 15389.0
  74 | P19(pr5)->P0:7 P43(pr1)->P-2:2                         | 39/ 1/ 4  | 2381+210/ 306 |  108 | 15389.0
  75 | P19(pr5)->P0:5 P4(pr5)->P-2:327 P23(pr2)->P-2:6 P41(pr | 39/ 1/ 4  | 2591+108/ 310 |  108 | 15389.0
  76 | P43(pr1)->P2:2                                         | 39/ 1/ 4  | 2368+439/ 314 |  108 | 15389.0
  77 | P41(pr1)->P0:2                                         | 39/ 1/ 4  | 2480+435/ 318 |  108 | 15389.0
  78 | P43(pr1)->P1:2                                         | 39/ 1/ 4  | 2586+437/ 322 |  108 | 15389.0

=== final step=79  me=2716+89=2805 ships on 40 planets (prod=112)  opp=0 on 0  neutral=4 ===
